level,cpp_iters,ts_iters,iter_ratio,cpp_time_s_internal,ts_time_s,speedup_TS_CPP,cpp_wall_s
8-8,8817,8502,0.9643,0.001343000,0.037314100,27.8,0.018938600
11-7A,73433,73433,1.0000,0.012415200,0.343353500,27.7,0.030583200
12-5B,252356,252356,1.0000,0.040064200,1.098885300,27.4,0.056922300
7-7A,2388,2388,1.0000,0.000557700,0.015182100,27.2,0.020096100
2-7B,82938,82938,1.0000,0.013100800,0.354027700,27.0,0.030906400
5-3B,10740,10740,1.0000,0.001670900,0.044834500,26.8,0.019562400
12-7A,1112814,1109307,0.9968,0.201026300,5.350593500,26.6,0.244170000
8-2,1240,1240,1.0000,0.000245600,0.006328200,25.8,0.017537100
5-5A,13802,13802,1.0000,0.002130400,0.054348200,25.5,0.018642100
3-4,11101,11101,1.0000,0.002053500,0.052326900,25.5,0.018638200
6-8A,35088,35088,1.0000,0.007212100,0.181408100,25.2,0.024062200
6-4C,13971,13971,1.0000,0.002169200,0.054410900,25.1,0.018945500
6-9C,25497,25497,1.0000,0.004099300,0.102246200,24.9,0.020545700
9-3A,1356,1386,1.0221,0.000204500,0.005069900,24.8,0.015910800
10-4,25120,25102,0.9993,0.002917200,0.072129400,24.7,0.021140100
4-5A,5214,5214,1.0000,0.000924300,0.022425500,24.3,0.018194000
6-3B,1215,1215,1.0000,0.000311700,0.007428700,23.8,0.018649500
6-3A,2155,2155,1.0000,0.000430600,0.010156200,23.6,0.017660100
12-5A,82261,82261,1.0000,0.022732200,0.533433000,23.5,0.050246900
12-6,16963,16963,1.0000,0.004114000,0.096277200,23.4,0.032174100
4-7A,4007,4007,1.0000,0.000825900,0.019270600,23.3,0.016678500
2-3A,3769,3769,1.0000,0.000831100,0.019355500,23.3,0.017616400
1-11A,2946,2946,1.0000,0.000781200,0.018059000,23.1,0.017875500
11-5,5016,5016,1.0000,0.000734100,0.016786900,22.9,0.016851300
5-3A,6180,6180,1.0000,0.001030000,0.023297900,22.6,0.018117400
5-8A,2255,2255,1.0000,0.000403600,0.009003900,22.3,0.017838700
2-7A,8762,8762,1.0000,0.001676000,0.037384200,22.3,0.026598500
4-6C,2817,2817,1.0000,0.000433200,0.009527900,22.0,0.017179900
2-8,3210,3210,1.0000,0.000756000,0.016602400,22.0,0.018369800
11-8A,5197,5197,1.0000,0.000912400,0.019669100,21.6,0.021028300
5-7,1357,1357,1.0000,0.000242400,0.005128400,21.2,0.017712800
10-2,2361,2361,1.0000,0.000513800,0.010092700,19.6,0.017392100
7-4A,1156,1156,1.0000,0.000301100,0.005895200,19.6,0.019597500
6-9,2342,2342,1.0000,0.000549100,0.010615700,19.3,0.019297800
2-5,431,431,1.0000,0.000118200,0.002233900,18.9,0.017742900
6-10A,1170,1170,1.0000,0.000231500,0.004336200,18.7,0.018526700
5-5,569,569,1.0000,0.000142500,0.002631000,18.5,0.019347300
10-6,2896,2904,1.0028,0.001101000,0.020062600,18.2,0.019407700
4-8A,665,665,1.0000,0.000265200,0.004813900,18.2,0.019298800
3-8B,639,639,1.0000,0.000138400,0.002501500,18.1,0.019078600
11-8,718,718,1.0000,0.000159400,0.002862600,18.0,0.016357200
11-4,1735,1735,1.0000,0.000443200,0.007871500,17.8,0.019079500
3-10A,543,543,1.0000,0.000156300,0.002774300,17.7,0.017830900
3-2,2579,2579,1.0000,0.000551500,0.009726500,17.6,0.017280700
12-4,1709,1709,1.0000,0.000488900,0.008607200,17.6,0.017493100
7-4B,848,848,1.0000,0.000237000,0.004165000,17.6,0.016368700
12-5,2536,2536,1.0000,0.000790900,0.013792800,17.4,0.024683200
5-4,592,592,1.0000,0.000126200,0.002194100,17.4,0.016437700
2-7,2889,2889,1.0000,0.000704300,0.012005900,17.0,0.017469300
1-14A,1681,1681,1.0000,0.000337800,0.005752200,17.0,0.018562000
4-3A,805,805,1.0000,0.000160900,0.002699200,16.8,0.019869300
9-5,836,836,1.0000,0.000242700,0.004061200,16.7,0.019788800
6-7A,2901,2901,1.0000,0.000653000,0.010678600,16.4,0.016895600
1-15A,4768,4768,1.0000,0.001664400,0.026147000,15.7,0.025581400
3-6,323,323,1.0000,0.000121500,0.001898500,15.6,0.016360900
4-8,199,199,1.0000,0.000084500,0.001313800,15.5,0.015705000
6-5,536,536,1.0000,0.000189600,0.002847900,15.0,0.016741400
6-9A,1146,1146,1.0000,0.000305500,0.004457700,14.6,0.017903000
7-6A,22206,22207,1.0000,0.006012200,0.086158000,14.3,0.033588300
11-6,772,772,1.0000,0.000222200,0.003160700,14.2,0.016246300
4-4A,230,230,1.0000,0.000076700,0.001079200,14.1,0.016402200
12-7,990,990,1.0000,0.000266100,0.003684300,13.8,0.018029100
3-11A,574,574,1.0000,0.000187100,0.002539900,13.6,0.016089800
2-5B,434,434,1.0000,0.000142300,0.001922400,13.5,0.016842500
6-3,897,897,1.0000,0.000241200,0.003258100,13.5,0.016742500
3-7,318,318,1.0000,0.000100400,0.001324300,13.2,0.016330300
3-3A,447,447,1.0000,0.000148400,0.001896200,12.8,0.016592400
3-11,326,326,1.0000,0.000122600,0.001565400,12.8,0.017313800
2-5A,771,771,1.0000,0.000235700,0.002964700,12.6,0.017888500
3-10,5358,5358,1.0000,0.002064800,0.025547400,12.4,0.023692900
12-1,686,686,1.0000,0.000291900,0.003527000,12.1,0.017584200
6-2A,462,462,1.0000,0.000164700,0.001983200,12.0,0.016204000
6-4B,1344,1344,1.0000,0.000498200,0.005818000,11.7,0.017084700
10-1,904,929,1.0277,0.000418400,0.004832800,11.6,0.017472200
7-3A,5257,5271,1.0027,0.002008000,0.023081500,11.5,0.022466900
1-13,368,368,1.0000,0.000133300,0.001529400,11.5,0.017251400
2-2,264,264,1.0000,0.000125400,0.001428300,11.4,0.016458600
3-7A,549,549,1.0000,0.000166900,0.001897400,11.4,0.017211800
9-7,610,613,1.0049,0.000174900,0.001970000,11.3,0.019107200
3-3,227,227,1.0000,0.000066900,0.000750300,11.2,0.016693000
5-3,256,256,1.0000,0.000106500,0.001174200,11.0,0.016171000
2-4A,880,880,1.0000,0.000355500,0.003901100,11.0,0.020979800
5-4A,119,119,1.0000,0.000073000,0.000788500,10.8,0.018254100
6-7,198,198,1.0000,0.000084600,0.000911000,10.8,0.019240800
6-5A,180,180,1.0000,0.000075200,0.000739000,9.8,0.017026600
5-6B,315,315,1.0000,0.000103800,0.001014200,9.8,0.016212300
6-6,181,181,1.0000,0.000072000,0.000676200,9.4,0.017143200
9-6,310,313,1.0097,0.000287100,0.002662400,9.3,0.019928100
6-4A,293,293,1.0000,0.000117000,0.001084100,9.3,0.017434900
3-8A,173,173,1.0000,0.000072800,0.000669900,9.2,0.016581600
4-4,165,165,1.0000,0.000087100,0.000795600,9.1,0.016016400
7-7,313,313,1.0000,0.000252100,0.002127200,8.4,0.019304100
4-3,132,132,1.0000,0.000067300,0.000549600,8.2,0.017022900
7-2,221,249,1.1267,0.000128900,0.001043000,8.1,0.016321500
11-3,201,201,1.0000,0.000086000,0.000693100,8.1,0.017988700
3-5,244,244,1.0000,0.000095700,0.000753800,7.9,0.016901600
4-7,154,154,1.0000,0.000078100,0.000591300,7.6,0.016404000
4-6A,282,282,1.0000,0.000127800,0.000967200,7.6,0.018029900
1-15,147,147,1.0000,0.000070700,0.000522700,7.4,0.016792700
6-6A,143,143,1.0000,0.000079800,0.000589200,7.4,0.016448500
11-2A,224,224,1.0000,0.000094100,0.000674400,7.2,0.016058400
2-3,144,144,1.0000,0.000094100,0.000645900,6.9,0.016184000
2-6,146,146,1.0000,0.000098800,0.000658700,6.7,0.016943000
6-4,146,146,1.0000,0.000083600,0.000556600,6.7,0.015964200
1-14,303,303,1.0000,0.000147000,0.000957400,6.5,0.023417500
4-2,106,106,1.0000,0.000066100,0.000407900,6.2,0.017038900
5-1,107,107,1.0000,0.000066900,0.000391600,5.9,0.016150300
2-4,312,312,1.0000,0.000194400,0.001085900,5.6,0.018550000
9-2,60,60,1.0000,0.000087100,0.000470300,5.4,0.016404800
9-2A,369,369,1.0000,0.000242900,0.001283700,5.3,0.017843900
1-10,35,35,1.0000,0.000036300,0.000173300,4.8,0.016113700
3-1,47,47,1.0000,0.000042900,0.000204600,4.8,0.020410400
2-6A,228,228,1.0000,0.000214700,0.000988800,4.6,0.025904400
9-4,53,53,1.0000,0.000044400,0.000201600,4.5,0.016299700
9-3,72,72,1.0000,0.000048800,0.000220300,4.5,0.022906200
11-1,70,70,1.0000,0.000053300,0.000226200,4.2,0.016253400
4-1,45,45,1.0000,0.000045300,0.000186800,4.1,0.016310000
7-3,54,54,1.0000,0.000056700,0.000221100,3.9,0.016048700
1-12,67,67,1.0000,0.000056700,0.000190200,3.4,0.016139300
9-1,24,24,1.0000,0.000031600,0.000094700,3.0,0.017182800
6-2,27,27,1.0000,0.000034300,0.000094500,2.8,0.016007400
1-11,13,13,1.0000,0.000033000,0.000089100,2.7,0.017794200
2-1,23,23,1.0000,0.000038700,0.000093900,2.4,0.015926900
1-12A,40,40,1.0000,0.000053000,0.000122500,2.3,0.016386400
1-5,8,8,1.0000,0.000023800,0.000053500,2.2,0.020341700
7-1,32,32,1.0000,0.000061500,0.000136000,2.2,0.016501700
11-2,15,15,1.0000,0.000034100,0.000067500,2.0,0.016282000
1-8,19,19,1.0000,0.000032500,0.000063300,1.9,0.016180300
1-2,11,11,1.0000,0.000025900,0.000050000,1.9,0.016301500
1-4,17,17,1.0000,0.000044100,0.000082800,1.9,0.017290100
1-1,4,4,1.0000,0.000021900,0.000040700,1.9,0.017033300
1-9,11,11,1.0000,0.000025400,0.000044800,1.8,0.016799900
1-3,9,9,1.0000,0.000025100,0.000042800,1.7,0.016745200
1-6,14,14,1.0000,0.000033400,0.000053000,1.6,0.016051900
5-2,24,24,1.0000,0.000054400,0.000082100,1.5,0.018178400
6-1,12,12,1.0000,0.000043200,0.000056300,1.3,0.051133000
1-7,4,4,1.0000,0.000023500,0.000021100,0.9,0.017778300
